route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
RMG,0#43,0#500-10,"TERMINI LAZIALI","11037872",1,"",56375,0,0
RMG,0#43,0#500-11,"CENTOCELLE","11037873",0,"",56374,0,0
RMG,0#43,0#500-12,"TERMINI LAZIALI","11037874",1,"",56375,0,0
RMG,0#43,0#500-13,"CENTOCELLE","11037875",0,"",56374,0,0
RMG,0#43,0#500-14,"TERMINI LAZIALI","11037876",1,"",56375,0,0
RMG,0#43,0#500-15,"CENTOCELLE","11037877",0,"",56374,0,0
RMG,0#43,0#500-16,"TERMINI LAZIALI","11037878",1,"",56375,0,0
RMG,0#43,0#500-17,"CENTOCELLE","11037879",0,"",56374,0,0
RMG,0#43,0#500-18,"TERMINI LAZIALI","11037880",1,"",56375,0,0
RMG,0#43,0#500-19,"CENTOCELLE","11037881",0,"",56374,0,0
RMG,0#43,0#500-20,"TERMINI LAZIALI","11037882",1,"",56375,0,0
RMG,0#43,0#500-21,"CENTOCELLE","11037883",0,"",56374,0,0
RMG,0#43,0#500-22,"TERMINI LAZIALI","11037884",1,"",56375,0,0
RMG,0#43,0#500-23,"CENTOCELLE","11037885",0,"",56374,0,0
RMG,0#43,0#500-24,"TERMINI LAZIALI","11037886",1,"",56375,0,0
RMG,0#43,0#500-25,"CENTOCELLE","11037887",0,"",56374,0,0
RMG,0#43,0#500-26,"TERMINI LAZIALI","11037888",1,"",56375,0,0
RMG,0#43,0#500-27,"CENTOCELLE","11037889",0,"",56374,0,0
RMG,0#43,0#500-28,"TERMINI LAZIALI","11037890",1,"",56375,0,0
RMG,0#43,0#500-29,"CENTOCELLE","11037891",0,"",56374,0,0
RMG,0#43,0#500-30,"TERMINI LAZIALI","11037892",1,"",56375,0,0
RMG,0#43,0#500-31,"CENTOCELLE","11037893",0,"",56374,0,0
RMG,0#43,0#500-32,"TERMINI LAZIALI","11037894",1,"",56375,0,0
RMG,0#43,0#500-33,"CENTOCELLE","11037895",0,"",56374,0,0
RMG,0#43,0#500-34,"TERMINI LAZIALI","11037896",1,"",56375,0,0
RMG,0#43,0#500-35,"CENTOCELLE","11037897",0,"",56374,0,0
RMG,0#43,0#500-36,"TERMINI LAZIALI","11037901",1,"",56375,0,0
RMG,0#43,0#500-37,"CENTOCELLE","11037902",0,"",56374,0,0
016F,0#1,0#525-2,"TORCEGNO/CASTEL PORZIANO","24865565",0,"",63044,0,0
016F,0#1,0#525-3,"MONTI S. PAOLO/CONFORTI","24865557",1,"",63045,0,0
016F,0#1,0#525-4,"TORCEGNO/CASTEL PORZIANO","24865558",0,"",63044,0,0
016F,0#1,0#525-5,"MONTI S. PAOLO/CONFORTI","24865559",1,"",63045,0,0
016F,0#1,0#525-6,"TORCEGNO/CASTEL PORZIANO","24865560",0,"",63044,0,0
016F,0#1,0#525-7,"MONTI S. PAOLO/CONFORTI","24865561",1,"",63045,0,0
016F,0#1,0#525-8,"TORCEGNO/CASTEL PORZIANO","24865562",0,"",63044,0,0
016F,0#1,0#525-9,"MONTI S. PAOLO/CONFORTI","24865563",1,"",63045,0,0
016F,0#1,0#525-10,"TORCEGNO/CASTEL PORZIANO","24865564",0,"",63044,0,0
016F,0#1,0#525-11,"MONTI S. PAOLO/CONFORTI","24865566",1,"",63045,0,0
016F,0#1,0#525-12,"TORCEGNO/CASTEL PORZIANO","24865567",0,"",63044,0,0
016F,0#1,0#525-13,"MONTI S. PAOLO/CONFORTI","24865568",1,"",63045,0,0
016F,0#1,0#525-14,"TORCEGNO/CASTEL PORZIANO","24865569",0,"",63044,0,0
016F,0#1,0#525-15,"MONTI S. PAOLO/CONFORTI","24865570",1,"",63045,0,0
016F,0#1,0#525-16,"TORCEGNO/CASTEL PORZIANO","24865548",0,"",63044,0,0
016F,0#1,0#525-17,"MONTI S. PAOLO/CONFORTI","24865549",1,"",63045,0,0
016F,0#1,0#525-18,"TORCEGNO/CASTEL PORZIANO","24865550",0,"",63044,0,0
016F,0#1,0#525-19,"MONTI S. PAOLO/CONFORTI","24865551",1,"",63045,0,0
016F,0#1,0#525-20,"TORCEGNO/CASTEL PORZIANO","24865552",0,"",63044,0,0
016F,0#1,0#525-21,"MONTI S. PAOLO/CONFORTI","24865553",1,"",63045,0,0
016F,0#1,0#525-22,"TORCEGNO/CASTEL PORZIANO","24865554",0,"",63044,0,0
016F,0#1,0#525-23,"MONTI S. PAOLO/CONFORTI","24865555",1,"",63045,0,0
016F,0#1,0#525-24,"TORCEGNO/CASTEL PORZIANO","24865556",0,"",63044,0,0
016F,0#1,0#525-25,"MONTI S. PAOLO/CONFORTI","24865571",1,"",63045,0,0
016F,0#1,0#525-26,"TORCEGNO/CASTEL PORZIANO","24865572",0,"",63044,0,0
016F,0#1,0#525-27,"MONTI S. PAOLO/CONFORTI","24865573",1,"",63045,0,0
016F,0#1,0#526-2,"TORCEGNO/CASTEL PORZIANO","24865574",0,"",63044,0,0
016F,0#1,0#526-3,"MONTI S. PAOLO/CONFORTI","24865575",1,"",63045,0,0
016F,0#1,0#526-4,"TORCEGNO/CASTEL PORZIANO","24865576",0,"",63044,0,0
016F,0#1,0#526-5,"MONTI S. PAOLO/CONFORTI","24865577",1,"",63045,0,0
016F,0#1,0#526-6,"TORCEGNO/CASTEL PORZIANO","24865578",0,"",63044,0,0
016F,0#1,0#526-7,"MONTI S. PAOLO/CONFORTI","24865579",1,"",63045,0,0
016F,0#1,0#526-8,"TORCEGNO/CASTEL PORZIANO","24865580",0,"",63044,0,0
016F,0#1,0#526-9,"MONTI S. PAOLO/CONFORTI","24865581",1,"",63045,0,0
